empty	ID	chr	str	start	end	trxStart	trxEnd	exonCount	exonStarts	exonEnds		name				row	align
98	NM_182488	chr13	-	26538286	26644033	26541419	26643776	9	26538286,26543207,26547327,26562019,26562218,26567737,26577867,26588652,26643728,	26541521,26543286,26547525,26562103,26562295,26567967,26578081,26588733,26644033,	0	USP12	cmpl	cmpl	0,2,2,2,0,1,0,0,0,	1	none
788	NM_000982	chr13	+	26723691	26728702	26725913	26728662	6	26723691,26725901,26726356,26727378,26728320,26728572,	26723722,26725980,26726418,26727491,26728471,26728702,	0	RPL21	cmpl	cmpl	-1,0,1,0,2,0,	2	none
788	NR_026911	chr13	+	26723692	26728699	26728699	26728699	6	26723692,26725901,26726356,26727378,26728320,26728572,	26723722,26725980,26726418,26727491,26728471,26728699,	0	RPL21P28	unk	unk	-1,-1,-1,-1,-1,-1,	3	none
788	NR_002574	chr13	+	26727200	26727272	26727272	26727272	1	26727200,	26727272,	0	SNORD102	unk	unk	-1,	4	none
788	NR_002575	chr13	+	26727537	26727663	26727663	26727663	1	26727537,	26727663,	0	SNORA27	unk	unk	-1,	1	none
789	NM_206827	chr13	+	26742463	26745827	26743081	26745631	4	26742463,26743620,26743775,26745163,	26743205,26743677,26743855,26745827,	0	RASL11A	cmpl	cmpl	0,1,1,0,	2	none
790	NM_002097	chr13	+	26896680	26907846	26896874	26907734	9	26896680,26899228,26902006,26902669,26904867,26906275,26906941,26907269,26907569,	26897075,26899329,26902103,26902758,26904941,26906356,26907171,26907329,26907846,	0	GTF3A	cmpl	cmpl	0,0,2,0,2,1,1,0,0,	3	none
790	NM_001166263	chr13	-	26907775	26922739	26907811	26912585	6	26907775,26909252,26912125,26913153,26917224,26922645,	26908030,26909410,26912586,26913214,26917293,26922739,	0	MTIF3	cmpl	cmpl	0,1,0,-1,-1,-1,	4	none
791	NM_153371	chr13	-	27018049	27092720	27020471	27053840	10	27018049,27022469,27025344,27028372,27031978,27034549,27039776,27041165,27053433,27092511,	27020607,27022628,27025576,27028550,27032122,27034918,27039976,27041413,27053940,27092720,	0	LNX2	cmpl	cmpl	2,2,1,0,0,0,1,2,0,-1,	1	none
98	NM_152705	chr13	+	27093915	27139559	27094120	27138090	3	27093915,27120515,27137822,	27094146,27120590,27139559,	0	POLR1D	cmpl	cmpl	0,2,2,	2	none
793	NM_145657	chr13	+	27264779	27266089	27264827	27266085	2	27264779,27265702,	27265239,27266089,	0	GSX1	cmpl	cmpl	0,1,	3	none
99	NM_000209	chr13	+	27392167	27398451	27392275	27396838	2	27392167,27396392,	27392681,27398451,	0	PDX1	cmpl	cmpl	0,1,	4	none
794	NR_002162	chr13	+	27417342	27417710	27417710	27417710	1	27417342,	27417710,	0	ATP5EP2	unk	unk	-1,	1	none
794	NM_001265	chr13	-	27434277	27441317	27435251	27441143	3	27434277,27437006,27440602,	27435506,27437152,27441317,	0	CDX2	cmpl	cmpl	0,1,0,	2	none
794	NM_001105577	chr13	-	27450242	27460774	27450242	27460774	2	27450242,27460599,	27450589,27460774,	0	PRHOXNB	cmpl	cmpl	1,0,	3	none
99	NM_004119	chr13	-	27475410	27572729	27476188	27572647	24	27475410,27486588,27487293,27487726,27490603,27495486,27496997,27499224,27500314,27506023,27506218,27506437,27507631,27508071,27509321,27520411,27521520,27521771,27522231,27524681,27529483,27534003,27542627,27572604,	27476311,27486694,27487393,27487838,27490726,27495614,27497080,27499378,27500425,27506128,27506351,27506544,27507810,27508180,27509425,27520580,27521674,27521911,27522359,27524811,27529599,27534206,27542749,27572729,	0	FLT3	cmpl	cmpl	0,2,1,0,0,1,2,1,1,1,0,1,2,1,2,1,0,1,2,1,2,0,1,0,	4	right
795	NR_029383	chr13	-	27608979	27611311	27611311	27611311	2	27608979,27610683,	27610542,27611311,	0	PAN3-AS1	unk	unk	-1,-1,	1	right
99	NM_175854	chr13	+	27610642	27767475	27610794	27764659	19	27610642,27646408,27648629,27650001,27669321,27692367,27728428,27732583,27733537,27738851,27739231,27739436,27742837,27744117,27749373,27752548,27753451,27760120,27764518,	27611224,27646530,27648696,27650072,27669483,27692515,27728676,27732688,27733595,27739013,27739348,27739538,27743003,27744208,27749513,27752678,27753516,27760259,27767475,	0	PAN3	cmpl	cmpl	0,1,0,1,0,0,1,0,0,1,1,1,1,2,0,2,0,2,0,	2	right
99	NM_001160030	chr13	-	27840233	27967265	27840714	27966980	15	27840233,27857021,27861932,27869096,27877916,27899295,27899888,27902186,27903272,27905955,27906194,27910357,27939039,27939657,27966916,	27840800,27857168,27862241,27869205,27878031,27899455,27900058,27902304,27903447,27906092,27906357,27910482,27939266,27939754,27967265,	0	FLT1	cmpl	cmpl	1,1,1,0,2,1,2,1,0,1,0,1,2,1,0,	3	right
799	NM_015932	chr13	+	28131140	28151093	28131321	28150239	6	28131140,28134546,28136645,28140609,28144475,28150171,	28131324,28134644,28136706,28140711,28144569,28151093,	0	POMP	cmpl	cmpl	0,0,2,0,0,1,	4	right
